,Unnamed: 0,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend,net_profits_2016,profits_yoy_2016,percent_2016,net_profits_2015,profits_yoy_2015,percent_2015,net_profits_2014,profits_yoy_2014,percent_2014
77,421,000078,海王生物,0.09,-9.09,,4.3,,23565.62,135.34,,08-29,19981218,6.3,6.47,2.69841269841,71.8888888889,,50.1554117648,41839.57,-11.87,-34.265442404,47473.21,1895.38,145.240532242,2379.15,-79.67,29.4039735099
78,631,600050,中国联通,0.04,73.93,,1.0,,77843.73,74.34,,08-17,20021009,7.31,7.42,1.5047879617,185.5,,49.4023090908,15407.41,-95.56,20.1512163051,347159.09,-12.81,26.0671363448,398173.85,15.65,56.6374553716
79,70,000878,云南铜业,0.09,1037.5,,2.23,,12864.78,1099.75,,08-25,19980602,11.81,14.56,23.2853513971,161.777777778,,47.2292636364,20342.72,683.79,-14.7292418773,2595.43,-64.58,-3.01120448179,7326.68,-104.9,63.9494833525
80,676,300123,太阳鸟,0.03,68.42,,0.78,,903.39,66.85,,08-29,20100928,15.08,15.3,1.45888594164,510.0,,45.8226363638,1827.0,35.5,-4.71376216353,1348.39,-39.06,44.6089181287,2212.73,-63.77,31.3963260896
81,118,600251,冠农股份,0.1,667.19,,4.0,,7705.27,664.17,,08-17,20030609,8.1,9.3,14.8148148148,93.0,,44.831475,2645.79,-79.82,-27.5102917487,13114.08,-18.97,24.5985727029,16183.9,-45.54,22.9672288496
82,411,600636,*ST爱富,0.24,139.71,,4.16,,10519.98,139.73,,08-30,19930316,13.86,14.3,3.1746031746,59.5833333333,,44.01495,-30787.57,-1.01,-16.6064981949,-31101.36,-4909.37,22.6296760865,646.68,-90.82,19.7155728293
83,89,600348,阳泉煤业,0.35,775.0,,5.24,,85274.5,904.14,,08-29,20030821,6.73,8.16,21.2481426449,23.3142857143,,42.551483916,42904.83,414.49,4.17956656347,8339.22,-89.47,-27.1702367531,79165.93,-15.34,28.2904252242
84,125,300288,朗玛信息,0.81,575.0,,22.23,,27335.2,598.5,,08-25,20120216,27.293,31.24,14.4615835562,38.5679012346,,41.3855092476,8514.58,-13.47,-55.6859879851,9839.86,183.16,-0.442907021854,3474.98,-38.28,276.530736458
85,22,603825,华扬联众,0.23,2200.0,,4.2,,2741.59,2857.41,,08-29,20170802,21.12,36.13,71.0700757576,157.086956522,,40.2055291139,10267.35,31.76,,7792.3,-14.64,,9128.41,10.84,
86,103,601168,西部矿业,0.11,1000.0,,2.25,,26004.03,747.21,,07-28,20070712,7.77,9.22,18.6615186615,83.8181818182,,40.0401496552,9980.08,228.6,6.84818481848,3037.11,-89.53,-19.6996466431,29011.1,-17.07,73.0556086375
87,727,002370,亚太药业,0.38,22.58,,4.55,,10160.73,58.79,10转10,08-23,20100316,14.6,14.83,1.57534246575,39.0263157895,,37.3188695653,12529.06,125.75,-17.0313121555,5549.93,36.81,136.550611641,4056.8,640.27,-8.71272548779
88,176,600586,金晶科技,0.07,600.0,,2.56,,10383.27,402.77,,07-29,20020815,4.63,5.13,10.7991360691,73.2857142857,,37.296502,3782.56,35.42,-24.2225859247,2793.18,-113.96,50.1228501229,-20002.49,-300.29,28.7974683544
89,253,000552,靖远煤电,0.12,265.07,,4.31,,27945.5,266.73,,08-29,19940106,3.768,4.04,7.2186836518,33.6666666667,,36.94995,22171.86,23.3,-24.4132397192,17982.63,-45.83,0.0,33198.88,-22.51,2.0261972984
90,960,600881,亚泰集团,0.03,50.0,,0.61,,7085.36,40.29,,08-26,19951115,5.47,5.53,1.09689213894,184.333333333,,36.73105,15193.23,-180.14,-24.4475138122,-18959.11,-203.27,-3.07898259705,18359.17,-15.63,95.1410658307
91,272,600190,锦州港,0.04,236.38,,1.42,,8439.25,236.38,,08-25,19990609,4.151,4.42,6.48036617682,110.5,,36.476333829,5550.26,-57.0,-27.1626601158,12906.58,-41.55,11.7450980392,22082.51,42.75,36.839280923
92,208,000425,徐工机械,0.08,338.89,,2.66,,55030.78,333.27,,08-31,19960828,3.37,3.68,9.19881305638,46.0,,36.2296741935,20858.32,312.23,-20.4813591317,5059.82,-87.76,-14.4529672992,41330.19,-72.6,99.5970991136
93,41,002601,龙蟒佰利,0.65,550.0,,10.22,,130993.25,1742.13,10派5,08-29,20110715,12.502,18.59,48.6962086066,28.6,,35.7754751314,44210.51,296.74,17.0270523261,11143.56,76.49,85.6298870547,6314.08,167.82,21.1323931804
94,84,600745,闻泰科技,0.27,800.0,,5.46,,17474.26,938.36,,08-30,19960828,21.4,27.06,26.4485981308,100.222222222,,35.4786289753,4798.15,-132.76,-47.7794045876,-14646.02,-967.02,201.989683125,1689.23,-68.62,-16.4408866995
95,155,601100,恒立液压,0.26,420.0,,4.57,,16168.3,471.11,,08-15,20111028,15.986,18.19,13.7870636807,69.9615384615,,34.1704376589,7035.18,10.77,-2.73789243125,6351.39,-30.89,24.7987851177,9190.72,-58.49,11.913664174
96,108,000983,西山煤电,0.29,738.9,,5.39,,91737.25,739.33,,08-01,20000726,8.45,10.31,22.0118343195,35.5517241379,,33.5878413979,43407.65,207.75,39.1404577639,14104.77,-48.37,-26.0292326431,27319.91,-74.13,15.9932184233
97,68,002061,江山化工,0.32,966.67,,8.94,,19494.65,1121.64,,08-15,20060816,8.99,12.06,34.149054505,37.6875,,32.8454188925,6627.97,-136.15,-2.91576673866,-18334.43,15.8,78.0769230769,-15833.14,-642.04,13.0189089328
98,1002,601200,上海环境,0.43,,,5.94,,29946.57,38.21,,08-31,20170331,24.41,24.7,1.18803768947,57.4418604651,,32.1622793104,46506.15,53.88,,30221.52,30.18,,23214.6,160.24,
99,330,000545,金浦钛业,0.1,225.67,,5.03,,9645.53,186.1,,08-24,19931215,5.784,6.12,5.80912863071,61.2,,32.0357857143,12080.38,-7.91,-35.504014273,13118.22,214.6,72.1635630639,4169.75,-56.07,46.0330810205
100,149,300143,星普医科,0.29,386.13,,3.56,,8110.36,486.47,,08-18,20101209,25.52,29.4,15.2037617555,101.379310345,,31.9966865979,5508.04,420.78,-13.6671177267,1057.66,-103.61,131.661442006,-29327.43,79.75,30.2040816327
101,1059,000070,特发信息,0.17,-32.52,,5.91,,10592.87,34.99,,08-15,20000511,12.6,12.74,1.11111111111,74.9411764706,,31.491,19578.51,112.94,-21.1020663745,9194.19,65.4,191.796089896,5558.85,-9.56,8.50515463918
