,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
3207,600179,安通控股,0.5,-172.46,,22.24,,40129.28,-249.86,,04-06,19981104.0,17.11,14.99,-12.390414962,29.98,,20.1655877359
3191,300282,汇冠股份,0.56,-216.67,,9.84,,12570.25,-212.77,,04-07,20111229.0,32.93,29.45,-10.567871242,52.5892857143,,20.1336669541
363,600318,新力金融,0.67,116.13,,13.25,,16265.56,114.02,10派1转10,02-21,20001208.0,15.153,16.026,5.76123539893,23.9194029851,,19.7908941581
3095,002066,瑞泰科技,0.11,-131.58,,6.6,,2523.84,-131.56,,03-25,20060823.0,20.32,18.96,-6.69291338583,172.363636364,,19.6566117647
2973,600569,安阳钢铁,0.05,-104.78,,2.59,,12323.71,-104.83,,03-16,20010820.0,3.16,2.99,-5.37974683544,59.8,,19.4860470588
432,601069,西部黄金,0.2,93.2,,7.66,,12654.97,96.41,,03-28,20150122.0,21.251,22.309,4.97858924286,111.545,,19.364923535
2927,000716,黑芝麻,0.03,-94.76,,0.94,,1631.61,-89.06,,04-18,19970418.0,8.449,8.06,-4.60409515919,268.666666667,,19.3436488432
487,300476,胜宏科技,0.62,-36.73,,17.4,,23207.12,83.4,,03-10,20150611.0,21.647,22.585,4.33316394882,36.4274193548,,19.2469061833
45,300116,坚瑞沃能,0.58,720.37,,12.81,,42545.72,1102.98,,03-07,20100902.0,5.725,9.05,58.0786026201,15.6034482759,,18.9911593985
1701,000656,金科股份,0.28,3.7,,9.42,,139526.03,10.13,10派2,03-30,19961128.0,5.057,5.084,0.533913387384,18.1571428571,,18.9731148148
3237,002097,山河智能,0.09,-328.94,,2.89,,6692.1,-328.87,10派1,04-27,20061222.0,10.719,8.85,-17.4363280157,98.3333333333,,18.8611959871
3178,600234,ST山水,0.07,-187.5,,26.45,,1426.97,-188.58,,03-18,20000615.0,20.35,18.31,-10.0245700246,261.571428571,,18.8117794117
501,002358,森源电气,0.39,69.57,,10.88,,33055.74,81.02,10派0.9,04-07,20100210.0,18.284,19.078,4.34259461825,48.9179487179,,18.6570488665
2984,002199,东晶电子,0.07,-106.19,,3.59,,1619.67,-105.9,,02-28,20071221.0,18.7,17.62,-5.77540106952,251.714285714,,18.3363888889
2886,601857,中国石油,0.04,-78.95,,0.7,,790000.0,-77.84,10派0.3801,03-31,20071105.0,8.189,7.84,-4.26181462938,196.0,,18.2645203438
3198,600561,江西长运,-0.41,-224.24,,-6.7,,-9763.67,-226.58,10派0.3,03-31,20020716.0,15.831,13.834,-12.6144905565,-33.7414634146,,17.9618827241
3286,300152,科融环境,-0.18,-550.0,,-9.32,,-13184.07,-608.57,10派0.03,04-25,20101229.0,11.21,7.38,-34.1659232828,-41.0,,17.8121924282
2621,000042,中洲控股,0.4,-52.74,,4.57,,26053.26,-35.06,10派0.8,04-29,19940921.0,20.552,20.145,-1.98034254574,50.3625,,17.7040078624
3212,000668,荣丰控股,-0.28,-264.71,,-6.53,,-4093.56,-260.58,,04-26,19961210.0,29.321,24.99,-14.7709832543,-89.25,,17.6413442161
